"STATIONID","Year","Month","AggGrp_20130430","Use_Biomass_Den_kg_m2","DECSLAT","DECSLON","logbiomass"
75,2003,10,"menhaden",0.00407672579920881,28.809,-95.398,0.00176690037679021
124,2003,10,"menhaden",0.00559872814934623,29.324,-93.438,0.00242471539581096
125,2003,10,"menhaden",0.0457396380660414,29.253,-93.543,0.019423569974604
161,2003,10,"menhaden",0.000780136574595721,29.481,-92.714,0.00033867691952208
162,2003,10,"menhaden",0.000878504283940268,29.585,-92.868,0.000381362073252315
163,2003,10,"menhaden",0.0098176673400681,29.182,-92.96,0.00424296465732924
171,2003,10,"menhaden",0.00987640504057036,29.131,-92.206,0.00426822537335934
172,2003,11,"menhaden",0.000735973925361913,29.148,-92.106,0.000319511852829925
173,2003,11,"menhaden",0.000903550175115686,29.153,-92.257,0.000392229682249201
174,2003,11,"menhaden",0.000993550843402907,29.175,-92.406,0.000431279435217175
177,2003,11,"menhaden",0.00549463356232239,28.894,-92.259,0.00237975706056762
194,2003,11,"menhaden",0.00399244926318277,28.899,-91.324,0.00173044661809906
196,2003,11,"menhaden",0.00106114298508238,28.983,-91.759,0.000460604202670407
197,2003,11,"menhaden",0.018712338057794,28.999,-91.644,0.00805156611512718
205,2003,11,"menhaden",0.0431625511377001,28.626,-90.929,0.0183519877760951
206,2003,11,"menhaden",0.00691559317433527,28.663,-90.861,0.00299306642747996
208,2003,11,"menhaden",0.0111325882712897,28.612,-91.097,0.00480810769691407
213,2003,11,"menhaden",0.00295516192160261,28.893,-90.651,0.00128151790047923
215,2003,11,"menhaden",0.0033284623065441,28.989,-90.448,0.0014431324371136
216,2003,11,"menhaden",0.0457034485097684,29.122,-90.071,0.0194085402329923
224,2003,11,"menhaden",0.0048918369945858,29.093,-89.804,0.00211931834914797
225,2003,11,"menhaden",0.0138637251772455,29.133,-89.833,0.00597958479926205
258,2003,11,"menhaden",0.0024644542594279,29.103,-88.954,0.00106898219728388
259,2003,11,"menhaden",0.00406731932659964,29.134,-88.928,0.00176283176512042
260,2003,11,"menhaden",0.0265244242671353,29.147,-88.859,0.0113692870707114
276,2003,11,"menhaden",0.00533871654310425,29.768,-88.643,0.00231240796750286
277,2003,11,"menhaden",0.00191664737398593,29.777,-88.628,0.000831592697626634
387,1999,6,"menhaden",0.0301753908389945,29.641,-93.886,0.0129111711022357
393,1999,6,"menhaden",0.00128193640926128,29.592,-93.932,0.000556381362076143
707,1983,3,"menhaden",0.000846391693349917,30.15,-88.867,0.000367427769969912
963,1983,4,"menhaden",0.0105473426402067,29.067,-89.517,0.0045566643785619
986,1983,4,"menhaden",0.0232060140099785,29.067,-90.1,0.00996308409342009
994,1983,4,"menhaden",0.00548759449534561,28.983,-90.483,0.00237671672743772
1168,1983,4,"menhaden",0.0700365873728008,28.783,-91.167,0.029398627612739
2060,1985,3,"menhaden",0.00235687533071285,30.17,-88.412,0.00102237361978595
2073,1985,3,"menhaden",0.00235687533071285,29.91,-88.493,0.00102237361978595
2385,1999,11,"menhaden",0.00128193640926128,28.441,-96.224,0.000556381362076143
2387,1999,11,"menhaden",0.0225972240123889,28.492,-96.092,0.00970460943712707
2398,1999,11,"menhaden",0.00610742773878454,28.327,-96.293,0.00264435525593842
2419,1999,11,"menhaden",0.00100996355636445,29.355,-94.543,0.000438400252559578
2600,2004,11,"menhaden",0.00130611444980019,29.641,-94.053,0.000566868181454928
3836,2002,10,"menhaden",0.00220917348089104,26.636,-97.268,0.000958373634852968
3873,2002,10,"menhaden",0.00142446635502128,28.058,-96.799,0.000618197681201721
3881,2002,10,"menhaden",0.00214030114008182,28.438,-95.996,0.000928527664417421
3914,2002,10,"menhaden",0.00888317590889356,28.533,-95.564,0.00384087981916021
3917,2002,10,"menhaden",0.00132174451802316,28.766,-95.528,0.000573647326517524
3930,2002,10,"menhaden",0.000276216986713238,29.005,-95.135,0.000119942948760038
3934,2002,10,"menhaden",0.0317634797892497,29.02,-94.581,0.0135801515594814
3936,2002,10,"menhaden",0.0023873125438959,28.886,-94.494,0.00103556105168958
3947,2002,10,"menhaden",0.0154528260968654,29.555,-94.226,0.00665975261360287
3950,2002,10,"menhaden",0.00243216782937833,29.386,-93.328,0.00105499462480002
3951,2002,10,"menhaden",0.00243263804992865,29.378,-93.157,0.0010551983434644
3953,2002,10,"menhaden",0.00122749512825363,29.384,-93.913,0.000532767442897671
3977,2002,11,"menhaden",0.0227672825527748,29.536,-92.983,0.00977682686890828
3979,2002,11,"menhaden",0.00136801283451581,29.535,-92.693,0.000593714413263716
3980,2002,11,"menhaden",0.00446227893167219,29.539,-92.702,0.00193363211520468
3981,2002,11,"menhaden",0.0256382374361462,29.25,-92.557,0.0109942036704147
3982,2002,11,"menhaden",0.00300377374722391,29.137,-92.432,0.00130256703289297
3984,2002,11,"menhaden",0.00104255789436425,29.146,-92.467,0.000452541281312978
3985,2002,11,"menhaden",0.00088345327255938,29.04,-92.112,0.000383509499863339
3986,2002,11,"menhaden",0.00111978974386188,28.975,-92.254,0.000486046422512179
4010,2002,11,"menhaden",0.00252800178214688,28.857,-91.593,0.00109651181554414
4011,2002,11,"menhaden",0.00111978974386188,28.834,-91.619,0.000486046422512179
4012,2002,11,"menhaden",0.00565294677531407,28.901,-91.694,0.00244813051622931
4013,2002,11,"menhaden",0.000937641915007178,28.936,-91.696,0.000407021919089185
4035,2002,11,"menhaden",0.00366389709035107,28.901,-90.269,0.00158830237392987
4036,2002,11,"menhaden",0.00200396472792981,28.922,-90.403,0.000869439950444082
4051,2002,11,"menhaden",0.00147007999772563,29.093,-89.713,0.000637978805840033
4053,2002,11,"menhaden",0.000697137761233472,29.017,-89.601,0.000302657598063308
4125,2004,10,"menhaden",0.000718881728311777,27.407,-97.287,0.00031209420177305
4129,2004,10,"menhaden",0.00220917348089104,27.187,-97.172,0.000958373634852968
4164,2004,10,"menhaden",0.00318650560318408,28.395,-96.25,0.00138168159919085
4168,2004,10,"menhaden",0.00148991178611888,28.723,-95.641,0.000646578913981064
4172,2004,10,"menhaden",0.00891784228471285,28.84,-95.284,0.0038558024161771
4173,2004,10,"menhaden",0.00194351746554177,28.725,-95.466,0.000843239750346545
4174,2004,10,"menhaden",0.00102409669173626,28.796,-95.41,0.000444531959133345
4217,2004,11,"menhaden",0.00338275069472196,29.462,-94.485,0.00146663073350028
4219,2004,11,"menhaden",0.00137321970896794,29.437,-94.473,0.000595972634950915
4220,2004,11,"menhaden",0.00588627788530101,29.215,-93.747,0.00254888362383551
4222,2004,11,"menhaden",0.01552117463512,29.309,-94.042,0.00668898331080595
4224,2004,11,"menhaden",0.00490640504419333,29.166,-93.753,0.00212561432794268
4225,2004,11,"menhaden",0.206299102506414,29.203,-93.76,0.0814550047050597
4227,2004,11,"menhaden",0.000756161218083638,29.395,-93.352,0.000328272546594293
4228,2004,11,"menhaden",0.00268570662040559,29.542,-93.015,0.00116482407660577
4236,2004,11,"menhaden",0.00202450664990796,29.187,-93.106,0.000878343260442515
4256,2004,11,"menhaden",0.00727423233327388,29.082,-93.27,0.00314772415377275
4293,2004,11,"menhaden",0.00364603555573154,28.779,-91.191,0.00158057345693738
4294,2004,11,"menhaden",0.00174527012414835,29.012,-91.616,0.000757300529412232
4311,2004,11,"menhaden",0.00569014134724823,28.609,-91.351,0.00246419281554065
4317,2004,11,"menhaden",0.000528106407562935,28.535,-90.744,0.000229293158396893
4318,2004,11,"menhaden",0.00378154493894616,28.561,-90.78,0.00163920668290028
4325,2004,11,"menhaden",0.00581913885413287,28.617,-90.315,0.00251989517401093
4326,2004,11,"menhaden",0.00338938810504136,28.484,-90.106,0.00146950359646275
4838,1985,12,"menhaden",0.00546899248010716,29.275,-89.886,0.00236868199150869
4839,1985,12,"menhaden",0.000260428213338436,29.275,-89.886,0.000113087810995625
4842,1985,12,"menhaden",0.0179044396670175,29.008,-90.465,0.00770700857706271
4843,1985,12,"menhaden",0.00520856426676872,29.048,-90.275,0.00225618007767592
4844,1985,12,"menhaden",0.0130214106669218,28.965,-90.238,0.00561862446811155
5724,2000,6,"menhaden",0.000878280002159905,28.425,-96.208,0.000381264754396778
5729,2000,6,"menhaden",0.00176587394999524,28.393,-96.108,0.000766232975731019
5761,2000,11,"menhaden",0.0151955886195353,26.076,-97.042,0.00654972192908745
5771,2000,6,"menhaden",0.00496947072779433,29.642,-93.89,0.00215286882532183
5772,2000,6,"menhaden",0.0020086488027038,29.658,-93.964,0.00087147014507805
5774,2000,6,"menhaden",0.000689520811820422,29.671,-93.99,0.000299351890907882
5777,2000,6,"menhaden",0.0426967634139773,29.558,-93.872,0.0181580254699104
5778,2000,6,"menhaden",0.0160459594086115,29.592,-93.849,0.00691335309171475
5779,2000,6,"menhaden",0.0218858385694249,29.708,-93.683,0.00940238068257454
5780,2000,6,"menhaden",0.00207324428474941,29.685,-93.658,0.000899466467498532
5781,2000,6,"menhaden",0.00264633290418782,29.659,-93.746,0.00114776975607379
5782,2000,6,"menhaden",0.0116334452174666,29.641,-93.752,0.00502317894963614
5783,2000,6,"menhaden",0.0116151589477593,29.608,-93.832,0.00501532857869076
5786,2000,6,"menhaden",0.00116558823420775,29.526,-93.831,0.000505913751973665
5787,2000,11,"menhaden",0.00134992543317872,29.594,-93.77,0.000585869815237499
5788,2000,11,"menhaden",0.0025808223464744,29.593,-93.898,0.00111939304707405
5793,2000,11,"menhaden",0.00118068867409347,29.66,-93.922,0.000512464105219241
5799,2000,11,"menhaden",0.00129829297200973,29.708,-93.664,0.000563475774415279
5822,2000,6,"menhaden",0.00287153045429264,30.223,-88.31,0.00124530272304109
5823,2000,6,"menhaden",0.00074563178395819,30.209,-88.318,0.000323703102635561
6207,1996,11,"menhaden",0.00284708588484443,29.593,-93.9,0.00123471684969087
6209,1996,11,"menhaden",0.00164916440627285,29.626,-94.061,0.000715633065167275
6210,1996,11,"menhaden",0.000878280002159905,29.643,-94.007,0.000381264754396778
6211,1996,11,"menhaden",0.00221437249735572,29.687,-93.797,0.000960626556064623
6267,1996,6,"menhaden",0.00230938954971478,28.343,-96.29,0.00100179881087991
6268,1996,6,"menhaden",0.00188797692552375,28.342,-96.276,0.000819164921574329
6271,1996,6,"menhaden",0.000841636296970372,28.427,-96.074,0.000365364269186541
6273,1996,6,"menhaden",0.00103569364887019,28.425,-96.226,0.000449563271898819
6280,1996,6,"menhaden",0.00243428900914635,28.26,-96.457,0.00105591360537875
6283,1996,11,"menhaden",0.000381076919225456,29.387,-94.709,0.000165468077169795
6377,1996,11,"menhaden",0.00119307817631177,27.843,-97.023,0.000517838418982353
6378,1997,6,"menhaden",0.00277749378448527,27.859,-97.009,0.0012045781432864
6386,1997,6,"menhaden",0.000859825693246407,27.789,-97.04,0.000373257108935193
6387,1997,6,"menhaden",0.00397451964386997,27.776,-97.056,0.00172269077863462
6390,1997,6,"menhaden",0.00114321271480986,27.753,-96.96,0.000496207392395195
6402,1997,6,"menhaden",0.000409201115787952,26.232,-97.174,0.000177677436151547
6420,1997,6,"menhaden",0.00114574406493708,29.329,-94.627,0.000497305487041649
6430,1997,6,"menhaden",0.00283122256831822,29.659,-93.944,0.00122784700341184
6437,1997,6,"menhaden",0.00228371881631264,29.638,-93.71,0.000990675697848121
6440,1997,6,"menhaden",0.00077148755830552,29.737,-93.687,0.000334923611335177
6489,1997,11,"menhaden",0.00174498525291047,27.691,-96.981,0.000757177026933237
6521,1997,11,"menhaden",0.000658461952580697,29.639,-93.842,0.000285872284863046
6585,1997,6,"menhaden",0.00491802565133738,28.242,-96.395,0.00213063642388502
6647,1995,6,"menhaden",0.00120963641993186,27.778,-97.055,0.000525020944037804
6698,1995,11,"menhaden",0.0020212011590704,26.273,-97.172,0.000876910602070295
6726,1995,6,"menhaden",0.000719061953366662,29.266,-94.704,0.000312172416285853
6727,1995,6,"menhaden",0.00142591088708269,29.259,-94.759,0.000618824140681954
6731,1995,6,"menhaden",0.000685201919958274,29.215,-94.871,0.000297477508382347
6735,1995,6,"menhaden",0.00105662310350914,29.667,-93.956,0.000458643319390347
6741,1995,6,"menhaden",0.0170479390939553,29.726,-93.641,0.00734142410592168
6935,1994,6,"menhaden",0.000364739115832827,27.674,-97.004,0.000158375304261692
6941,1994,6,"menhaden",0.00796147294320897,29.428,-94.619,0.00344393249845743
6942,1994,6,"menhaden",0.00290229121970818,29.434,-94.629,0.00125862349783212
7010,1994,11,"menhaden",0.0062819426842061,29.608,-93.943,0.0027196795238064
7012,1994,11,"menhaden",0.00564395766457965,29.66,-93.923,0.00244424852229734
7013,1994,11,"menhaden",0.000467131542707562,29.623,-94.062,0.000202825281964816
7015,1994,11,"menhaden",0.00145771338534038,29.625,-93.771,0.000632615905053937
7152,1993,6,"menhaden",0.00114574406493708,29.386,-94.681,0.000497305487041649
